ID	ImageName	Des
133	image\title\tichluynapthe\KimCuong1.spr	Tài Trợ Kim Cương 1
134	image\title\tichluynapthe\KimCuong2.spr	Nhà Tài Trợ Kim Cương 2
139	image\effect\other\tianxiadiyi_jian.spr	Danh hiệu ngũ hành môn phái
20000	image\title\bxh\QuanQuan.spr	Quán quân tỷ võ
20001	image\title\bxh\AQuan.spr	Á Quân Tỷ Võ
20002	image\effect\other\tianxiadiyi_dao_vn.spr	vnThiên Hạ Đệ Nhất Đao
20003	image\effect\other\tianxiadiyi_gun_vn.spr	vnThiên Hạ Đệ Nhất Côn
20004	image\effect\other\tianxiadiyi_qiang_vn.spr	vnThiên Hạ Đệ Nhất Thương
20005	image\effect\other\tianxiadiyi_chui_vn.spr	vnThiên Hạ Nhất Phi Đao
20006	image\effect\other\tianxiadiyi_feidao_vn.spr	vnThiên Hạ Đệ Nhất Chưởng
20007	image\effect\other\tianxiadiyi_xiujian_vn.spr	vnThiên Hạ Nhất Tu Tiễn
20008	image\effect\other\vn_feilongchengzhu.spr	vn Phi Long Thành Chủ
20009	image\effect\other\vn_feilongjiang.spr	vn Phi Long Tướng
20010	image\effect\other\vn_tianxiawushuang.spr	vnThiên Hạ Vô Song
20011	image\ui\003a\customladder\img_captain_vn.spr	Chưởng môn Tông Môn tự tạo Danh hieu Chuong Mon
20012	image\ui\003a\customladder\img_firstmember_vn.spr	Đại đệ tử Tông Môn tự tạo Danh hieu Tinh Anh
20013	image\danhhieuvip\thienton.spr	Danh Hiệu Thiên Tôn VIP
20014	image\danhhieuvip\maton.spr	Danh Hiệu Ma Tôn VIP
