TotalFile:1129	PakTime:2010-4-19 19:59:15	PakTimeSave:4bcc4593	CRC:e3876214
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
25	5da2d0a	2008-10-16 10:34:25	\task_publish\sub\0000000000000003.xml	35496	4586	4	28c82ddb
26	5f44ef6	2008-10-16 10:34:53	\task_publish\sub\0000000000000168.xml	11680	1898	4	921e3cd6
27	64db5bd	2008-10-16 10:34:45	\task_publish\sub\00000000000000FB.xml	26854	2878	4	c866a4a0
28	6eb2fb4	2008-10-16 10:34:53	\task_publish\sub\0000000000000169.xml	27470	3519	4	c70b689
29	73523a7	2010-2-1 12:56:16	\task_publish\task\0000000000000142.xml	9512	2295	4	c0a67839
30	7398ac8	2008-10-16 10:34:25	\task_publish\sub\0000000000000004.xml	33272	4746	4	ef424c09
31	771d56c	2010-2-1 12:41:55	\task_publish\task\000000000000001D.xml	8118	1592	4	8cadec4d
32	7b93b26	2008-10-16 10:34:57	\task_publish\sub\00000000000001AC.xml	21038	2047	4	a00c3241
33	7de655e	2008-10-16 10:34:41	\task_publish\sub\00000000000000C0.xml	18306	1779	4	14a952f
34	80c0ff2	2009-4-1 18:24:41	\task_publish\sub\000000000000021E.xml	27204	2828	4	3e0c9f64
35	8da5e7d	2010-2-1 12:56:10	\task_publish\task\0000000000000140.xml	10236	2721	4	ae25e6e0
36	8fb4c4c	2008-10-16 10:34:25	\task_publish\sub\0000000000000002.xml	39800	4087	4	a0663daf
37	9064342	2010-2-1 12:41:49	\task_publish\task\000000000000001B.xml	8092	1450	4	e038dd55
38	97afc9a	2008-10-16 10:34:57	\task_publish\sub\00000000000001AA.xml	20044	2205	4	92efabd5
39	9a06940	2008-10-16 10:34:39	\task_publish\sub\00000000000000AF.xml	13096	1897	4	9ce63d13
40	9cc762d	2010-2-1 12:48:4	\task_publish\task\0000000000000099.xml	6988	1381	4	2ceb3fc8
41	9ce1ef8	2010-2-1 12:51:31	\task_publish\task\00000000000000E1.xml	11394	2509	4	f45564da
42	a0f9a5f	2010-2-1 12:41:52	\task_publish\task\000000000000001C.xml	7926	1421	4	47031981
43	a5a5a58	2008-10-16 10:34:57	\task_publish\sub\00000000000001AB.xml	14146	1680	4	9592679d
44	b11de47	2010-2-1 12:55:19	\task_publish\task\000000000000012F.xml	6966	1246	4	149a39c7
45	b37a915	2009-11-23 17:16:16	\task_publish\task\00000000000000E2.xml	16164	2172	4	3a2c483d
46	b4bb6b7	2010-2-1 13:1:22	\task_publish\task\00000000000001A9.xml	9486	1235	4	25c87a2c
47	b6a9cab	2010-2-1 12:38:59	\task_publish\sub\000000000000003D.xml	52110	5301	4	99a14767
48	ba7348d	2010-2-1 22:57:47	\task_publish\task\000000000000017B.xml	10336	1201	4	d44b583e
49	c1c0835	2010-2-1 12:41:46	\task_publish\task\000000000000001A.xml	7604	1377	4	e6aaf287
50	c408b82	2008-10-16 10:34:39	\task_publish\sub\00000000000000AE.xml	11326	1565	4	5a9721a3
51	cc4c7eb	2009-2-19 8:58:26	\task_publish\task\00000000000000E0.xml	8236	1547	4	e96affd1
52	cda3f10	2010-2-1 12:48:1	\task_publish\task\0000000000000098.xml	6720	1234	4	74103e33
53	d145e2f	2008-10-16 10:34:30	\task_publish\sub\000000000000003B.xml	31002	4895	4	28bab60e
54	d264c1d	2010-2-1 12:55:13	\task_publish\task\000000000000012D.xml	7168	1063	4	b21ab0d0
55	d58248d	2010-2-1 13:1:16	\task_publish\task\00000000000001A7.xml	9502	1242	4	ef4a1b75
56	d829c0f	2008-11-27 21:12:15	\task_publish\sub\00000000000001D8.xml	56424	4059	4	394f8553
57	dcdc176	2009-3-31 10:21:55	\task_publish\sub\000000000000021C.xml	28550	2993	4	1d6b6860
58	e0b3fed	2010-2-1 12:38:56	\task_publish\sub\000000000000003C.xml	29046	3229	4	e58e1a39
59	e2f872a	2010-2-1 12:55:16	\task_publish\task\000000000000012E.xml	10352	1722	4	8e5b1ee9
60	e427f9a	2010-2-1 13:1:19	\task_publish\task\00000000000001A8.xml	9500	1244	4	9595ad1c
61	ebdfa70	2010-2-1 12:59:1	\task_publish\task\000000000000017A.xml	10016	1166	4	17fa315a
62	ee27dcd	2009-3-2 11:11:25	\task_publish\sub\00000000000001D9.xml	44988	4175	4	41d175df
63	f1c47b5	2010-2-1 12:50:40	\task_publish\task\00000000000000CF.xml	14652	1781	4	55790d65
64	f2cae34	2009-4-1 18:24:39	\task_publish\sub\000000000000021D.xml	24448	2479	4	c813826
65	f730d48	2010-4-17 17:40:2	\task_publish\sub\0000000000000296.xml	35242	4098	4	53a9ac17
66	f9bee8e	2008-10-16 10:34:25	\task_publish\sub\0000000000000001.xml	46088	4461	4	b3080784
67	1045504d	2010-2-1 12:39:19	\task_publish\sub\0000000000000054.xml	38188	3256	4	51bd285
68	1066552d	2010-2-1 12:43:7	\task_publish\task\0000000000000035.xml	6134	1089	4	406ecf3b
69	108b8873	2010-2-1 12:46:52	\task_publish\task\0000000000000081.xml	6332	1223	4	67c158e6
70	10c4c09b	2009-11-19 18:49:51	\task_publish\sub\00000000000001FC.xml	15224	1310	4	ce302419
71	110fe915	2010-2-1 12:56:34	\task_publish\task\0000000000000148.xml	7226	1540	4	fafa0dd5
72	117ec294	2009-5-21 18:23:3	\task_publish\sub\0000000000000235.xml	12902	1075	4	6ffed5d2
73	119dcc5b	2010-2-1 22:58:55	\task_publish\task\0000000000000194.xml	7246	1554	4	d14af1f5
74	11b0d9b6	2008-10-16 10:34:46	\task_publish\sub\0000000000000105.xml	22406	2113	4	508acf64
75	11d503ee	2008-10-16 10:34:37	\task_publish\sub\000000000000008E.xml	18344	2266	4	21d5e1df
76	11d9f120	2010-2-1 12:45:58	\task_publish\task\000000000000006F.xml	6418	1231	4	7e7d0eea
77	123bae59	2009-11-19 18:49:54	\task_publish\sub\00000000000001FD.xml	15232	1329	4	98afaa8e
78	125da052	2009-6-12 14:4:6	\task_publish\sub\0000000000000236.xml	53684	6456	4	fd46ad82
79	12712022	2010-2-1 12:56:37	\task_publish\task\0000000000000149.xml	7232	1594	4	8a041a43
80	12870768	2010-2-1 13:0:22	\task_publish\task\0000000000000195.xml	9492	1248	4	f858f00a
81	128f7406	2009-2-19 8:58:27	\task_publish\sub\000000000000018A.xml	9434	1169	4	f72b082e
82	1297a774	2008-10-16 10:34:46	\task_publish\sub\0000000000000106.xml	13242	1852	4	74eb5b96
83	1334e0ac	2008-10-16 10:34:37	\task_publish\sub\000000000000008F.xml	27648	2616	4	72200c03
84	13b411fa	2008-10-16 10:34:58	\task_publish\sub\00000000000001C2.xml	9928	1128	4	94d70cfa
85	13d714f0	2010-2-1 13:3:4	\task_publish\task\00000000000001CB.xml	7090	1408	4	a9c87ddc
86	13f18da0	2008-10-16 10:34:41	\task_publish\sub\00000000000000C7.xml	5920	1280	4	961a722
87	14065ef8	2010-2-1 12:56:31	\task_publish\task\0000000000000147.xml	7078	1427	4	edbea220
88	141f65d6	2009-4-30 18:31:19	\task_publish\sub\0000000000000234.xml	5386	865	4	631fc44a
89	145178e8	2008-10-16 10:34:46	\task_publish\sub\0000000000000104.xml	13876	1512	4	1d0241da
90	149e949e	2008-10-16 10:34:26	\task_publish\sub\0000000000000009.xml	67072	6338	4	c7fe4c16
91	14abb54e	2010-2-1 22:58:52	\task_publish\task\0000000000000193.xml	7344	1627	4	a716031c
92	14d7a613	2010-2-1 12:45:55	\task_publish\task\000000000000006E.xml	6872	1408	4	77de7963
93	14f5a220	2008-10-16 10:34:37	\task_publish\sub\000000000000008D.xml	12228	2310	4	37bd88e8
94	150a1e83	2010-2-1 12:51:46	\task_publish\task\00000000000000E8.xml	12176	2002	4	97f8c31a
95	1575d37e	2008-10-16 10:34:58	\task_publish\sub\00000000000001C0.xml	8398	1046	4	4c0ed72f
96	15afd577	2009-11-19 18:50:20	\task_publish\sub\000000000000026E.xml	12904	1097	4	1a2f5478
97	15b34f24	2008-10-16 10:34:41	\task_publish\sub\00000000000000C5.xml	19068	2092	4	7416c8fa
98	15e12b89	2008-10-16 10:34:51	\task_publish\sub\000000000000013E.xml	14134	2203	4	4f666533
99	1654b03c	2008-10-16 10:34:58	\task_publish\sub\00000000000001C1.xml	8418	1059	4	15ccbe88
100	1673a990	2010-2-1 12:51:49	\task_publish\task\00000000000000E9.xml	9504	2191	4	cb9d1b70
101	168eb235	2009-7-30 17:2:22	\task_publish\sub\000000000000026F.xml	18324	1636	4	1030ae20
102	16922ce2	2008-10-16 10:34:41	\task_publish\sub\00000000000000C6.xml	33606	1725	4	c6246f84
103	16c08957	2008-10-16 10:34:51	\task_publish\sub\000000000000013F.xml	25316	3737	4	2dc6f0f5
104	16eddde3	2010-2-1 13:3:1	\task_publish\task\00000000000001CA.xml	7430	1573	4	d391f1ce
105	1765f28f	2010-2-1 12:39:16	\task_publish\sub\0000000000000053.xml	53322	4161	4	838521a7
106	177c1a10	2010-2-1 12:43:4	\task_publish\task\0000000000000034.xml	6252	1186	4	9634ca9d
107	17827166	2010-2-1 12:46:49	\task_publish\task\0000000000000080.xml	7640	1727	4	48501d78
108	17e563dd	2008-12-16 19:35:44	\task_publish\sub\00000000000001FB.xml	21572	3140	4	e38be62c
109	1800c476	2010-2-1 12:51:43	\task_publish\task\00000000000000E7.xml	9016	1883	4	f7ad76b6
110	184877a9	2009-7-2 14:47:27	\task_publish\sub\000000000000026D.xml	15514	1286	4	b1f9a80f
111	1853ee66	2008-10-16 10:34:41	\task_publish\sub\00000000000000C4.xml	12082	1894	4	db0d8e51
112	18824acb	2008-10-16 10:34:50	\task_publish\sub\000000000000013D.xml	12810	1677	4	80eca15f
113	190088f6	2010-2-1 12:42:58	\task_publish\task\0000000000000032.xml	8334	1423	4	7ac2920b
114	1926b403	2008-10-16 10:34:31	\task_publish\sub\0000000000000051.xml	32084	4159	4	55b6d622
115	19d8274a	2009-4-30 18:31:19	\task_publish\sub\0000000000000232.xml	14552	1170	4	5f8ff813
116	19ec5107	2008-10-16 10:34:46	\task_publish\sub\00000000000000FE.xml	17946	2176	4	e857f46
117	1a0615c1	2010-2-1 12:39:12	\task_publish\sub\0000000000000052.xml	39710	3123	4	5969abb5
118	1a0ac303	2010-2-1 12:43:1	\task_publish\task\0000000000000033.xml	7394	1230	4	b148ec76
119	1a85821f	2008-12-16 19:35:44	\task_publish\sub\00000000000001FA.xml	23624	2644	4	d13bf49
120	1ac33ec5	2008-10-16 10:34:46	\task_publish\sub\00000000000000FF.xml	15870	2180	4	14dbb264
121	1b1c07eb	2010-2-1 12:56:28	\task_publish\task\0000000000000146.xml	7326	1600	4	cd3499e9
122	1b3f8408	2009-4-30 18:31:19	\task_publish\sub\0000000000000233.xml	14438	1154	4	caaa3151
123	1b719b2a	2008-10-16 10:34:46	\task_publish\sub\0000000000000103.xml	13290	1590	4	e68be5e2
124	1b96c562	2008-10-16 10:34:37	\task_publish\sub\000000000000008C.xml	12024	1985	4	c645b0aa
125	1ba27a31	2010-2-1 22:58:49	\task_publish\task\0000000000000192.xml	7278	1587	4	56981579
126	1bbf37d0	2008-10-16 10:34:26	\task_publish\sub\0000000000000008.xml	30596	4409	4	611db6c8
127	1bee6f06	2010-2-1 12:45:52	\task_publish\task\000000000000006D.xml	7272	1542	4	d4585880
128	1c1f71d9	2010-2-1 12:42:55	\task_publish\task\0000000000000031.xml	8374	1583	4	4a758be6
129	1c8cf039	2008-10-16 10:34:46	\task_publish\sub\00000000000000FD.xml	25048	2894	4	882f6779
130	1cf9598c	2009-4-22 17:38:5	\task_publish\sub\0000000000000231.xml	6904	944	4	c34ccebf
131	1d20b5c1	2010-2-1 12:56:22	\task_publish\task\0000000000000144.xml	7082	1467	4	2f2bc812
132	1d335cae	2008-10-16 10:34:46	\task_publish\sub\0000000000000101.xml	14988	1760	4	d995f290
133	1d5786e6	2008-10-16 10:34:36	\task_publish\sub\000000000000008A.xml	13706	1617	4	5dca20ba
134	1d6ca696	2010-2-1 12:42:1	\task_publish\task\000000000000001F.xml	7586	1319	4	9aa37646
135	1d78c954	2008-10-16 10:34:26	\task_publish\sub\0000000000000006.xml	14692	1564	4	78892286
136	1db6e817	2010-2-1 22:58:43	\task_publish\task\0000000000000190.xml	7528	1713	4	c020a5d0
137	1df29ddc	2010-2-1 12:45:46	\task_publish\task\000000000000006B.xml	6646	1228	4	f07e5df8
138	1df879a2	2008-10-16 10:34:57	\task_publish\sub\00000000000001AE.xml	18238	1935	4	3def2e54
139	1e123a6c	2008-10-16 10:34:46	\task_publish\sub\0000000000000102.xml	15274	2019	4	756456d4
140	1e2accde	2010-2-1 12:56:25	\task_publish\task\0000000000000145.xml	7156	1571	4	2a18f28c
141	1e585612	2008-10-16 10:34:26	\task_publish\sub\0000000000000007.xml	30892	2607	4	a4f3be4a
142	1eb767a4	2010-2-1 12:40:19	\task_publish\sub\000000000000008B.xml	24928	2585	4	8465ccb
143	1eb82324	2010-2-1 22:58:46	\task_publish\task\0000000000000191.xml	7308	1543	4	13a74f48
144	1edfc760	2008-10-16 10:34:57	\task_publish\sub\00000000000001AF.xml	18964	2241	4	fccc38e4
145	1ee4d4e9	2010-2-1 12:45:49	\task_publish\task\000000000000006C.xml	6900	1327	4	dc14e57b
146	1f1e8d59	2010-2-1 12:51:40	\task_publish\task\00000000000000E6.xml	9452	1162	4	84dbe91e
147	1f6896eb	2009-7-2 14:47:27	\task_publish\sub\000000000000026C.xml	15516	1278	4	80b89866
148	1f7c0098	2008-10-16 10:34:41	\task_publish\sub\00000000000000C3.xml	32164	3308	4	67633a86
149	1f8e68d1	2010-2-1 12:59:16	\task_publish\task\000000000000017F.xml	9488	1238	4	4e95268a
150	1fa2ed0d	2008-10-16 10:34:50	\task_publish\sub\000000000000013C.xml	11712	1170	4	2392468d
151	1fc7d745	2010-2-1 12:39:8	\task_publish\sub\0000000000000050.xml	53896	7199	4	f99b7071
152	20ca9d37	2008-10-16 10:34:47	\task_publish\sub\0000000000000115.xml	32902	3108	4	cb2fedf2
153	20f08615	2009-7-2 15:53:43	\task_publish\sub\0000000000000245.xml	13316	1231	4	fd70d1e9
154	2108d84f	2010-2-1 12:43:55	\task_publish\task\0000000000000045.xml	7116	1181	4	2f510a0b
155	216fc76f	2008-10-16 10:34:38	\task_publish\sub\000000000000009E.xml	26960	2926	4	22e59ebc
156	219e3e95	2010-2-1 12:47:40	\task_publish\task\0000000000000091.xml	7350	1657	4	185bec9e
157	21ef77bd	2009-1-8 14:12:24	\task_publish\sub\00000000000001D1.xml	26846	2772	4	6c53a777
158	22010b87	2008-11-7 11:14:6	\task_publish\sub\000000000000019A.xml	61248	5182	4	c11c88ee
159	222a7af5	2008-10-16 10:34:48	\task_publish\sub\0000000000000116.xml	8444	1126	4	64fdf918
160	224ea42d	2008-10-16 10:34:38	\task_publish\sub\000000000000009F.xml	50888	3120	4	dc1779b8
161	2272135c	2010-2-1 12:43:58	\task_publish\task\0000000000000046.xml	7160	1230	4	8e4d87f
162	228049a2	2010-2-1 12:47:43	\task_publish\task\0000000000000092.xml	6718	1257	4	74437def
163	22ced57b	2008-12-18 11:21:4	\task_publish\sub\00000000000001D2.xml	64520	5596	4	17f8f6cb
164	23045744	2010-2-1 12:57:22	\task_publish\task\0000000000000159.xml	7726	1288	4	d8f12e1c
165	23067f1f	2010-2-1 13:0:58	\task_publish\task\00000000000001A1.xml	9492	1245	4	7f0b3f71
166	23744121	2008-10-16 10:34:42	\task_publish\sub\00000000000000D7.xml	5880	1021	4	108278a6
167	23df17ce	2010-2-1 12:39:31	\task_publish\sub\0000000000000064.xml	15516	2109	4	3bc05c4d
168	24068132	2010-2-1 12:43:52	\task_publish\task\0000000000000044.xml	8128	1356	4	3394a3f1
169	240879a1	2008-10-16 10:34:38	\task_publish\sub\000000000000009D.xml	30948	2684	4	593d6cc1
170	2410a81f	2008-10-16 10:34:27	\task_publish\sub\0000000000000019.xml	27896	3002	4	cbe692ff
171	248f96ff	2008-10-16 10:34:58	\task_publish\sub\00000000000001D0.xml	13952	1411	4	c09042bb
172	2494e478	2010-2-1 12:47:37	\task_publish\task\0000000000000090.xml	7318	1632	4	70f6f36a
173	2521e8e8	2009-9-25 10:55:28	\task_publish\sub\000000000000027E.xml	66012	5452	4	1bcbb569
174	2528c51a	2010-2-1 12:57:16	\task_publish\task\0000000000000157.xml	8842	1050	4	300adfd1
175	253502a5	2008-10-16 10:34:42	\task_publish\sub\00000000000000D5.xml	12698	1876	4	570d1803
176	257bef0a	2008-10-16 10:34:52	\task_publish\sub\000000000000014E.xml	8350	1181	4	e18458b8
177	25982942	2010-2-1 12:39:28	\task_publish\sub\0000000000000062.xml	25438	2665	4	67fb9edf
178	25fa2d35	2010-2-1 12:46:43	\task_publish\task\000000000000007E.xml	6516	1444	4	9c274b12
179	260149b6	2009-9-25 10:55:31	\task_publish\sub\000000000000027F.xml	62136	7008	4	5559afbe
180	26121c37	2010-2-1 12:57:19	\task_publish\task\0000000000000158.xml	11576	1456	4	ee2e5a0b
181	2614e063	2008-10-16 10:34:42	\task_publish\sub\00000000000000D6.xml	5894	1036	4	5b04cb1e
182	261c2402	2010-2-1 13:0:55	\task_publish\task\00000000000001A0.xml	9506	1245	4	da31eb73
183	265b4cc8	2008-10-16 10:34:52	\task_publish\sub\000000000000014F.xml	7120	1112	4	1fb6bbfb
184	26ec6442	2010-2-1 12:46:46	\task_publish\task\000000000000007F.xml	6670	1479	4	c8d1f4ea
185	26ffb600	2008-10-16 10:34:33	\task_publish\sub\0000000000000063.xml	42150	3758	4	46588fb8
186	2706dcb2	2010-2-1 12:52:38	\task_publish\task\00000000000000F9.xml	7008	1322	4	f3045855
187	27913957	2009-7-2 15:53:43	\task_publish\sub\0000000000000244.xml	15508	1273	4	dfe74432
188	27eb3c69	2008-10-16 10:34:47	\task_publish\sub\0000000000000114.xml	15558	1721	4	f2b2526a
189	28040e4c	2008-10-16 10:34:52	\task_publish\sub\000000000000014D.xml	14190	1393	4	d06a12ff
190	28268a0d	2009-1-8 17:35:21	\task_publish\task\0000000000000156.xml	10248	1606	4	a260c055
191	28b94b84	2008-10-16 10:34:33	\task_publish\sub\0000000000000061.xml	13048	1821	4	c6627fbd
192	28f09218	2010-2-1 12:46:40	\task_publish\task\000000000000007D.xml	7186	1529	4	284b7df3
193	292b4a88	2010-2-1 12:52:31	\task_publish\task\00000000000000F7.xml	6730	1248	4	c8165dd3
194	2952facb	2009-7-2 15:53:42	\task_publish\sub\0000000000000242.xml	15510	1265	4	c690ce6a
195	2994f1ed	2008-10-16 10:34:47	\task_publish\sub\0000000000000112.xml	21540	3404	4	6cd59805
196	29c93b25	2008-10-16 10:34:38	\task_publish\sub\000000000000009B.xml	17994	1637	4	93fe8f9
197	29d26d93	2008-10-16 10:34:27	\task_publish\sub\0000000000000017.xml	17936	2599	4	31fad2af
198	2a1c85a5	2010-2-1 12:52:35	\task_publish\task\00000000000000F8.xml	6722	1213	4	59ef1fd1
199	2ab25b89	2009-7-2 15:53:43	\task_publish\sub\0000000000000243.xml	15510	1274	4	6070d75
200	2af45eab	2008-10-16 10:34:47	\task_publish\sub\0000000000000113.xml	9870	1360	4	2170d282
201	2b1d7625	2010-2-1 12:43:49	\task_publish\task\0000000000000043.xml	7622	1391	4	e7e1b45
202	2b2898e3	2008-10-16 10:34:38	\task_publish\sub\000000000000009C.xml	37070	3195	4	962c908
203	2b31cb51	2008-10-16 10:34:27	\task_publish\sub\0000000000000018.xml	22888	2630	4	567741a7
204	2bc20b2a	2009-9-22 17:56:49	\task_publish\sub\000000000000027D.xml	45890	3908	4	3cec05dd
205	2bd5a5e7	2008-10-16 10:34:42	\task_publish\sub\00000000000000D4.xml	19584	2652	4	4d30c00f
206	2c21307b	2010-2-1 12:52:28	\task_publish\task\00000000000000F6.xml	6844	1352	4	9486d020
207	2c731d0d	2009-7-2 15:53:42	\task_publish\sub\0000000000000241.xml	15510	1272	4	f76d7068
208	2c909ff3	2010-2-1 22:58:40	\task_publish\task\000000000000018F.xml	7396	1634	4	12cffee8
209	2cb5102f	2008-10-16 10:34:47	\task_publish\sub\0000000000000111.xml	15006	1867	4	f96e6113
210	2cea5a67	2008-10-16 10:34:38	\task_publish\sub\000000000000009A.xml	18712	1675	4	54b5f471
211	2cf28cd5	2008-10-16 10:34:27	\task_publish\sub\0000000000000016.xml	27524	2443	4	17fd6228
212	2d21e4fb	2010-2-1 12:43:43	\task_publish\task\0000000000000041.xml	8428	1520	4	19a0866a
213	2d723d23	2008-10-16 10:34:58	\task_publish\sub\00000000000001BE.xml	8382	1038	4	68d0f819
214	2d83ccae	2009-9-22 17:56:49	\task_publish\sub\000000000000027B.xml	56300	5873	4	30c09565
215	2d97675b	2008-10-16 10:34:42	\task_publish\sub\00000000000000D2.xml	20320	3910	4	d12ee34d
216	2da5c59d	2010-2-1 12:53:23	\task_publish\task\0000000000000108.xml	7168	1223	4	4f25ba4c
217	2dc5c3c0	2008-10-16 10:34:52	\task_publish\sub\000000000000014B.xml	9206	1144	4	4920d614
218	2dcb38e3	2010-2-1 12:57:10	\task_publish\task\0000000000000154.xml	9992	1165	4	f0e5a3f2
219	2e2b3f08	2010-2-1 12:43:46	\task_publish\task\0000000000000042.xml	14190	1419	4	8535d473
220	2e519ae1	2008-10-16 10:34:58	\task_publish\sub\00000000000001BF.xml	8342	990	4	9c930c8b
221	2eaf1caa	2010-2-1 12:53:26	\task_publish\task\0000000000000109.xml	7224	1270	4	dcaa072b
222	2ee2aa6c	2009-9-22 17:56:49	\task_publish\sub\000000000000027C.xml	57208	4554	4	34f85866
223	2ef6c419	2008-10-16 10:34:42	\task_publish\sub\00000000000000D3.xml	13304	1695	4	306a6d16
224	2f24a08e	2008-10-16 10:34:52	\task_publish\sub\000000000000014C.xml	6836	847	4	1bd1bb0c
225	2f3d73f0	2010-2-1 12:57:13	\task_publish\task\0000000000000155.xml	10346	1194	4	13aae1e0
226	2f59eac6	2010-2-1 12:39:25	\task_publish\sub\0000000000000060.xml	59128	4576	4	be455920
227	2f8f5b0b	2010-2-1 12:46:37	\task_publish\task\000000000000007C.xml	6790	1267	4	26965da4
228	3034f161	2008-10-16 10:34:30	\task_publish\sub\000000000000003A.xml	38712	5047	4	30f7146a
229	303c3500	2010-2-1 12:55:10	\task_publish\task\000000000000012C.xml	10278	2465	4	e9910bc6
230	3056ea70	2010-2-1 13:1:13	\task_publish\task\00000000000001A6.xml	9484	1237	4	3fc8b718
231	30a33f41	2008-11-27 21:12:15	\task_publish\sub\00000000000001D7.xml	50340	5713	4	8fc606fb
232	30ee63a8	2009-3-31 10:21:55	\task_publish\sub\000000000000021B.xml	26516	3176	4	ef1b2833
233	3120f58b	2010-2-1 12:50:34	\task_publish\task\00000000000000CD.xml	14668	1781	4	3f0f9555
234	313ccecc	2010-1-18 16:26:13	\task_publish\sub\0000000000000294.xml	49614	3368	4	4a7898ed
235	3176c5ee	2008-10-16 10:34:53	\task_publish\sub\0000000000000164.xml	19136	2040	4	4f971844
236	31bc7194	2010-2-1 12:39:43	\task_publish\sub\0000000000000069.xml	53024	5220	4	50133878
237	3213af8a	2010-1-29 10:23:23	\task_publish\sub\0000000000000295.xml	13726	1868	4	7f816315
238	322a0c98	2010-2-1 12:50:37	\task_publish\task\00000000000000CE.xml	14676	1777	4	54e332a0
239	3255a2ac	2008-10-16 10:34:53	\task_publish\sub\0000000000000165.xml	7134	1034	4	b79b82d4
240	33612ac4	2008-10-16 10:34:39	\task_publish\sub\00000000000000AD.xml	12872	2065	4	83572605
241	33d0e403	2010-2-1 12:47:58	\task_publish\task\0000000000000097.xml	7290	1582	4	46f4db67
242	33e6124d	2009-1-14 13:50:46	\task_publish\sub\000000000000019F.xml	47804	3222	4	6f73b6d0
243	34176420	2008-10-16 10:34:53	\task_publish\sub\0000000000000163.xml	8158	1114	4	d3c5e4af
244	343ebb7e	2010-2-1 12:50:31	\task_publish\task\00000000000000CC.xml	14652	1784	4	ca4f0708
245	345c90d6	2010-2-1 12:39:40	\task_publish\sub\0000000000000068.xml	37648	3831	4	c8b20c5d
246	3522ec38	2008-10-16 10:34:39	\task_publish\sub\00000000000000AB.xml	22640	2471	4	44336935
247	3548063f	2008-10-16 10:34:48	\task_publish\sub\0000000000000119.xml	13030	1953	4	c19fc284
248	35573f93	2010-2-1 12:44:7	\task_publish\task\0000000000000049.xml	8014	1548	4	428df028
249	3576031d	2009-7-2 15:53:43	\task_publish\sub\0000000000000249.xml	15508	1277	4	255a482
250	35a7d7c1	2008-11-7 11:14:12	\task_publish\sub\000000000000019D.xml	62458	4330	4	10ffe0ea
251	35c0a3e6	2010-2-1 12:55:3	\task_publish\task\000000000000012A.xml	8976	1892	4	72e0b159
252	35e512d9	2010-2-1 12:47:52	\task_publish\task\0000000000000095.xml	6924	1321	4	9547de7c
253	36024d06	2008-10-16 10:34:39	\task_publish\sub\00000000000000AC.xml	22046	2489	4	82f00ddf
