TRAPX	TRAPY
62304	121408
62336	121408
62400	121440
62400	121472
62400	121536
62368	121600
62336	121632
62304	121696
62272	121728
62240	121760
62208	121824
62176	121856
62176	121888
62176	121888
62144	121824
62144	121792
62144	121728
62176	121696
62208	121632
62240	121600
62272	121568
62336	121536
62368	121504
62432	121504
62432	121536
62400	121600
62368	121632
62336	121664
62304	121696
62272	121728
62208	121792
62176	121824
62144	121856
62144	121792
62144	121728
62176	121696
62208	121664
62240	121600
62304	121568
62336	121536
62368	121536
62432	121504
62464	121536
62464	121600
62432	121632
62400	121696
62368	121728
62336	121760
62304	121824
62240	121856
62208	121888
62176	121920
62176	121920
62208	121888
62240	121824
62272	121792
62304	121760
62336	121696
62368	121664
62432	121632
62464	121600
62464	121568
62432	121600
62400	121632
62368	121696
62336	121728
62304	121760
62272	121824
62240	121856
62208	121920
62176	121952
62176	121920
62144	121856
62176	121824
62176	121760
62208	121696
62240	121664
62272	121632
62304	121568
62336	121536
62304	121504
62272	121504
62208	121536
62176	121568
62144	121632
62112	121664
62080	121696
62048	121728
62048	121696
62080	121664
62112	121632
62144	121568
62176	121536
62208	121504
62240	121440
62272	121408
62272	121344
62304	121280
65728	104288
65728	104288
65728	104256
65696	104192
65664	104160
65632	104128
65600	104096
65600	104064
65568	104032
65504	104000
65472	103968
65504	103904
65504	103936
65536	103968
65568	104032
65568	104064
65600	104128
65632	104160
65664	104224
65696	104256
65696	104320
65696	104384
65664	104416
65632	104448
65568	104416
65536	104384
65536	104320
65536	104256
65568	104256
65536	104224
65504	104192
65472	104128
65440	104096
65408	104064
65376	104032
65312	104064
65312	104128
65344	104128
65408	104160
65440	104192
65472	104256
65504	104288
65536	104320
65568	104384
65600	104416
65600	104480
65600	104544
65568	104544
65536	104544
65504	104512
65472	104480
65472	104448
65440	104384
65408	104352
65376	104320
65344	104256
65312	104224
65280	104160
65248	104128
65184	104128
65216	104160
65248	104224
65280	104256
65344	104288
65376	104320
65408	104384
65440	104416
65472	104448
65504	104512
65536	104544
65536	104608
65536	104672
65536	104704
65504	104736
65440	104736
65408	104672
65376	104640
65344	104608
65312	104544
65280	104512
65248	104448
65248	104416
65216	104352
65184	104320
65152	104256
65120	104224
65152	104160
65184	104160
65248	104160
65280	104192
65312	104224
65312	104288
65312	104352
65344	104384
65376	104448
65376	104480
65408	104544
65440	104576
65504	104608
65536	104640
65536	104640
65536	104576
65568	104544
65600	104480
65632	104448
65664	104384
65632	104352
65600	104320
65536	104288
65504	104288
65440	104288
65408	104256
65376	104192
65408	104128
65440	104096
65472	104128
65504	104160
65536	104192
65568	104256
65568	104288
65568	104352
65568	104416
65536	104448
65536	104512
65472	104544
52384	100960
52384	100960
52384	100992
52352	101024
52320	101056
52288	101088
52224	101120
52192	101152
52160	101184
52128	101152
52096	101120
52160	101120
52192	101088
52256	101088
52288	101056
52352	101024
52384	100992
52448	100992
52480	101024
52480	101088
52448	101120
52416	101184
52384	101216
52352	101248
52320	101312
52288	101344
52256	101376
52256	101376
52288	101344
52320	101312
52352	101248
52384	101216
52416	101152
52448	101120
52480	101088
52544	101056
52576	101088
52576	101120
52544	101184
52544	101216
52480	101280
52448	101312
52416	101344
52384	101408
52352	101440
52352	101440
52320	101472
52320	101408
52352	101376
52384	101344
52384	101376
52384	101408
52384	101408
52352	101440
52320	101504
52288	101536
52256	101472
52256	101472
52320	101504
52352	101568
52384	101568
52416	101568
52448	101504
52480	101472
52512	101408
52544	101376
52576	101312
52608	101280
52640	101248
52672	101184
52704	101152
52736	101184
52768	101216
52768	101280
52736	101312
52704	101376
52672	101408
52640	101472
52608	101504
52576	101536
52544	101600
52480	101632
52448	101664
52416	101664
52352	101600
52384	101568
52416	101536
52480	101504
52512	101472
52544	101440
52608	101408
52640	101376
52672	101344
52704	101280
52736	101248
52736	101184
52704	101152
52672	101120
52608	101152
52576	101184
52544	101216
52512	101248
52480	101312
52448	101344
52416	101408
52384	101440
52352	101504
52352	101536
52352	101600
52384	101632
52448	101632
52480	101600
52512	101568
52544	101504
52576	101472
52608	101440
52640	101376
52672	101344
52704	101280
52736	101248
52736	101216
52736	101152
52704	101120
52640	101120
52608	101184
52576	101216
52544	101280
52544	101312
52512	101376
52480	101408
52448	101472
52416	101504
52384	101536
52352	101568
52320	101536
52288	101472
52320	101440
52352	101408
52384	101376
52448	101312
52480	101280
52512	101248
52544	101184
52576	101152
52608	101120
52640	101088
52672	101120
52640	101184
52608	101216
52576	101248
52512	101248
52480	101216
52448	101152
52448	101120
52448	101056
52416	100992
52352	100992
52320	101024
52288	101088
52256	101120
52224	101152
52192	101216
52192	101248
52224	101312
52256	101344
52288	101312
52320	101280
52352	101216
52384	101184
52416	101120
52448	101088
52512	101088
52544	101120
52576	101152
52544	101216
52512	101248
52448	101280
52416	101312
52384	101376
52352	101408
52320	101472
52320	101504
52320	101536
52352	101568
52416	101568
52448	101536
49344	104640
49312	104672
49280	104704
49248	104768
49216	104800
49184	104832
49152	104896
49088	104928
49056	104960
49024	104992
49056	104992
49024	104960
49024	104928
48992	104864
48992	104832
48992	104768
49024	104736
49088	104704
49120	104672
49152	104640
49184	104576
49216	104544
49280	104544
49280	104544
49248	104576
49216	104608
49152	104672
49120	104704
49088	104736
49056	104800
49024	104832
48992	104864
49024	104928
49024	104928
49088	104896
49088	104864
49152	104832
49184	104768
49216	104736
49248	104672
49280	104672
49344	104672
49344	104704
49344	104768
49344	104832
49312	104864
49248	104896
49216	104928
49184	104992
49152	105024
49120	105056
49056	105088
49056	105088
49056	105056
49088	104992
49120	104960
49152	104928
49184	104864
49216	104832
49248	104800
49280	104736
49344	104704
49376	104672
49408	104736
49472	104736
49504	104768
49472	104832
49440	104864
49408	104928
49376	104960
49376	104960
49376	104960
49376	104960
49344	104960
49312	105024
49280	105056
49248	105088
49216	105152
49184	105184
49152	105216
49152	105280
49216	105280
49248	105248
49280	105184
49312	105152
49344	105120
49376	105056
49408	105024
49440	104992
49472	104960
49504	104896
49536	104864
49504	104800
49472	104832
49440	104864
49408	104896
49376	104960
49344	104992
49312	105056
49280	105088
49248	105120
49216	105184
49184	105216
49152	105280
49152	105280
49152	105248
49184	105216
49248	105184
49280	105120
49312	105088
49344	105056
49376	104992
49408	104960
49440	104896
49440	104864
49472	104800
49472	104736
49440	104736
49408	104768
49376	104832
49344	104864
49312	104928
49280	104960
49248	105024
49216	105056
49184	105056
49184	105056
49184	105088
49152	105120
49088	105152
49088	105120
49088	105088
49120	105024
49152	104992
49184	104960
49216	104896
49248	104864
49280	104800
49312	104768
49344	104736
49376	104672
49376	104640
49312	104640
49280	104672
49248	104736
49216	104768
49184	104832
49152	104864
49120	104896
49088	104960
49056	104992
49024	104992
62272	122080
62368	121952
62464	121824
62528	121728
62624	121600
62688	121536
62592	121664
62496	121792
62432	121888
62400	121920
62304	122048
62240	122208
62208	122208
62400	122208
62432	122208
62432	122080
62432	122016
62560	122016
62624	122016
62624	121920
62624	121824
62656	121824
62816	121824
62624	121728
62624	121664
