TenNhanVat	TrangBiChuyen	CapCuongHoa	TongLuotChuyen	TrangBiNhan
LócXOay	Bạch Hổ Triền Thủ-Hoàng Quang	14	0	Phá Sơn Đao-Lạc Lôi
SaoMai	Huyền Thiết Kiếm-Linh Vũ	14	0	Thanh Sương Kiếm-Vân Phách
hoangnam	Thất Tinh Thấu Cốt-Tâm Nhãn	13	0	Hàm Sa Xạ Ảnh-Ô Sương
VươngCường	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
ChimĐangSun	Bắc Minh Bội-Hoàng Quang	14	2	Côn Bằng Bội-Chí mạng
SauThienThu89	Liệt Tâm Chùy-Ô Sương	12	1	Kim Qua Chùy-Ô Sương
KẻMangTâmSự	Huyền Thiết Kiếm-Việt Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
SaoThổ	Xích Tiêu Kiếm-Vân Phách	12	0	Thanh Sương Kiếm-Vân Phách
WuKong	Long Uyên Kiếm-Linh Vũ	14	1	Phá Sơn Đao-Nghiệp Hỏa
DépLào	Thiên Tàm Ngoa-Diên Dương	14	3	Bá Vương Ngoa-Tật Phong
adminn	Thanh Sương Kiếm-Triệt Cốt	12	0	Thanh Sương Kiếm-Triệt Cốt
NamDoaNe	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
SiêuThú	Long Uyên Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
ThuyKiem	Huyền Thiết Kiếm-Việt Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ĐườngTăng	Long Uyên Kiếm-Triệt Cốt	14	0	Phá Sơn Đao-Nghiệp Hỏa
BátGiới	Long Uyên Kiếm-Linh Vũ	14	0	Kim Qua Chùy-Ô Sương
zBaKichz	Nghiệt Long Chùy-Linh Vũ	14	0	Phá Sơn Đao-Nghiệp Hỏa
SaNgộTĩnh	Long Uyên Kiếm-Linh Vũ	14	0	Hàm Sa Xạ Ảnh-Ô Sương
AnhBaChàCú	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Ô Sương
ThúNhún	Long Uyên Kiếm-Linh Vũ	12	0	Thanh Sương Kiếm-Vân Phách
BạchLongMã	Long Uyên Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Thực Cốt
HànTín	Thanh Sương Kiếm-Triệt Cốt	12	0	Thanh Sương Kiếm-Triệt Cốt
LãoNhị	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
HeoKuteHộtMe	Thất Tinh Thấu Cốt-Tâm Nhãn	14	0	Thanh Sương Kiếm-Vân Phách
Bà6LồnLửa	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
LãoTứ	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
LãoTứ	Sơn Văn Tự Giáp-Chu Thiềm	12	1	Sơn Quỷ Trang-Diên Dương
LãoNgũ	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
hoangnam	Thất Tinh Thấu Cốt-Cự Mộc	14	1	Hàm Sa Xạ Ảnh-Ô Sương
TràĐá	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
TràChanh	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
LãoĐại	Huyền Thiết Kiếm-Hoàng Quang	14	1	Phá Sơn Đao-Nghiệp Hỏa
ĐạiSưHuynh	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
LãoNhị	Sơn Văn Tự Giáp-Chu Thiềm	12	1	Tỏa Tử Hoàng Kim Giáp-Diên Dương
TamSưHuynh	Huyền Thiết Kiếm-Triệt Cốt	14	0	Phá Sơn Đao-Nghiệp Hỏa
TràVải	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
TràTắc	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
TràĐào	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
TràĐường	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
TẩyTủyKinh	Huyền Thiết Kiếm-Thực Cốt	14	0	Thanh Sương Kiếm-Vân Phách
ĐạiSưHuynh	Long Thủ Bội-Diên Dương	12	1	Long Thủ Bội-Diên Dương
00000E	Thất Tinh Thấu Cốt-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
DépLàoDM	Long Thủ Bội-Chí mạng	12	1	Côn Bằng Bội-Thanh Phong
00000R	Giác Hải Bổng-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
DépLàoMN	Thương Khung Giới-Việt Quang	12	1	Hình Thiên Giới-Việt Quang
ConSóngTN	Tiên Xạ Hương Nang-Chí mạng	12	0	Già Nam Hương Nang-Chu Thiềm
anhbachacu	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
IIiDTKiII	Tiên Xạ Hương Nang-Việt Quang	12	0	Già Nam Hương Nang-Chí mạng
IIiDTKiII	Bắc Thần Liên-Diên Dương	12	1	Quần Điểu Liên-Quy Nguyên
banloile	Chu Tâm Tiễn-Ô Sương	12	0	Hàm Sa Xạ Ảnh-Ô Sương
IIiDTKiII	Huyền Thiết Kiếm-Hoàng Quang	14	2	Thanh Sương Kiếm-Vân Phách
TứSưTỷ	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
dotchaylong	Huyền Vũ Triền Thủ-Nghiệp Hỏa	12	0	Phá Sơn Đao-Nghiệp Hỏa
NgũSưHuynh	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
LụcSưHuynh	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
Logitech	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Thực Cốt
Genius	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
HứaVCường	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
Fuhlen	Long Lân Đao-Diên Dương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
QCPass	Phá Thiên Kích-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
zZThiênZz	Huyền Thiết Kiếm-Vân Phách	14	0	Thấu Cốt Thương-Thương Lang
Xigmatek	Tuyệt Ảnh Đao-Toái Trần	14	0	Thanh Sương Kiếm-Vân Phách
NhatTinh	Yển Nguyệt Đao-Linh Vũ	14	0	Thanh Sương Kiếm-Triệt Cốt
KingView	Thất Tinh Thấu Cốt-Nghịch Thủy	14	0	Kim Qua Chùy-Thương Lang
saothuy2	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
saomộc2	Huyền Thiết Kiếm-Triệt Cốt	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ThầyLangBăm	Huyền Thiết Kiếm-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBăma	Kim Cô Bổng-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBămb	Kinh Lôi Thương-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
LãoĐại	Đông Hải Thúc Yêu-Cự Mộc	12	2	Hoa Hạ Đằng Long Thúc Yêu-Tuyệt
saohỏa2	Huyền Thiết Kiếm-Triệt Cốt	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBămc	Bạch Hổ Triền Thủ-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBămd	Giác Hải Bổng-Ô Sương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ThầyLangBăme	Huyền Thiết Kiếm-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
iIiDMiIi	Huyền Thiết Kiếm-Linh Vũ	14	0	Hàm Sa Xạ Ảnh-Ô Sương
iIiTYKiIi	Long Lân Đao-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
iIiCLKiIi	Huyền Thiết Kiếm-Thực Cốt	14	0	Thanh Sương Kiếm-Vân Phách
adminn	Huyền Thiết Kiếm-Hoàng Quang	14	1	Thanh Sương Kiếm-Triệt Cốt
emtimkim	Huyền Thiết Kiếm-Hoàng Quang	14	0	Chu Tước Triền Thủ-Nghiệp Hỏa
iIiMNiIi	Bạch Hổ Triền Thủ-Phá Quân	14	0	Phá Sơn Đao-Nghiệp Hỏa
saothổ2	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
VõĐangKhí	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
ThiênVương	Huyền Thiết Kiếm-Triệt Cốt	14	0	Kim Qua Chùy-Ô Sương
NgaMiKiếm	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ĐườngMôn	Giác Hải Bổng-Phá Quân	14	0	Hàm Sa Xạ Ảnh-Ô Sương
KýSinhTrùng	Long Lân Đao-Nghiệp Hỏa	14	0	Phá Sơn Đao-Thương Lang
zzzdmttzzz	Long Lân Đao-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
zzzMGCxxx	Long Lân Đao-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
zzzMNxxx	Long Lân Đao-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
zzzTYKxxx	Long Lân Đao-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
NgọcHoàng	Huyền Thiết Kiếm-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyTrừTà	Kinh Lôi Thương-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
ThầyTrừTàb	Long Lân Đao-Diên Dương	14	0	Thanh Sương Kiếm-Vân Phách
HắcHóa	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
zzzMNBxxx	Long Lân Đao-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ThầyTrừTàa	Giác Hải Bổng-Diên Dương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ThiênNhẫnĐao	Yển Nguyệt Đao-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyTrừTàc	Huyền Thiết Kiếm-Phá Quân	14	0	Thanh Sương Kiếm-Triệt Cốt
HắcQuái	Long Lân Đao-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
GiảiTrí	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ThúGâyLú	Phách Phong Đao-Thương Lang	12	0	Kim Qua Chùy-Thương Lang
ThầyTrừTàd	Bạch Hổ Triền Thủ-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
admiin	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
NgaMiCóChim	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
adimiin	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Ô Sương
adminm	Huyền Thiết Kiếm-Triệt Cốt	14	0	Hàm Sa Xạ Ảnh-Ô Sương
TràngTiÊnXinh	Nghiệt Long Chùy-Toái Trần	14	0	Thanh Sương Kiếm-Vân Phách
ChếtNè	Nghiệt Long Chùy-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
TràngTiÊnXinh	Bắc Thần Liên-Diên Dương	12	1	Quần Điểu Liên-Lâm Li
TràngTYK	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
TiêuFe	Huyền Thiết Kiếm-Hoàng Quang	13	0	Thanh Sương Kiếm-Thực Cốt
ĐườngLiên	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
TamTinh	Thất Tinh Thấu Cốt-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
LôiVôKiệt	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
TôKhắcNhi	Bạch Hổ Triền Thủ-Diên Dương	13	0	Hàm Sa Xạ Ảnh-Ô Sương
TràngVDK	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
HHHHHHHHH	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
TràngDMTT	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
philippin	Long Lân Đao-Hoàng Long	14	0	Thanh Sương Kiếm-Triệt Cốt
TràngTLD	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
TràngTLD	Long Thủ Bội-Cự Mộc	12	1	Long Thủ Bội-Hoàng Quang
asian2	Giác Hải Bổng-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
LãoĐại	Triều Lộ Liên-Cự Mộc	14	3	Quần Điểu Liên-Chí mạng
WthichbuliemW	Long Lân Đao-Tâm Nhãn	14	0	Thanh Sương Kiếm-Thực Cốt
asian3	Nghiệt Long Chùy-Phá Quân	14	0	Hàm Sa Xạ Ảnh-Ô Sương
Thailand	Thất Tinh Thấu Cốt-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
asian5	Giác Hải Bổng-Tâm Nhãn	14	0	Phá Sơn Đao-Lạc Lôi
asian4	Bạch Hổ Triền Thủ-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
TôTiểuYến	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Thực Cốt
VươngCường	Long Lân Đao-Phi Yến	14	1	Phá Sơn Đao-Hàn Băng
TôThiếuGia	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
VôTâm	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
40ThiênLạc	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
NhượcY	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
DConSóngVĐ	Bắc Thần Liên-Diên Dương	12	0	Quần Điểu Liên-Phục Thạch
DConSóngVĐ	Long Thủ Bội-Việt Quang	12	1	Côn Bằng Bội-Thanh Phong
HoiUcKT	Huyền Thiết Kiếm-Việt Quang	14	1	Phá Sơn Đao-Nghiệp Hỏa
DoatMenh	Bạch Hổ Triền Thủ-Chu Thiềm	14	0	Hàm Sa Xạ Ảnh-Ô Sương
CConSóngDM	Bắc Thần Liên-Chu Thiềm	12	0	Bắc Thần Liên-Chí mạng
CConSóngDM	Long Thủ Bội-Diên Dương	12	1	Côn Bằng Bội-Chí mạng
CConSóngDM	Huyền Thiết Kiếm-Hoàng Quang	14	2	Hàm Sa Xạ Ảnh-Hàn Băng
EConSóngTN	Bắc Thần Liên-Cự Mộc	12	0	Bắc Thần Liên-Chí mạng
EConSóngTN	Long Thủ Bội-Chu Thiềm	12	1	Côn Bằng Bội-Thanh Phong
OhOooo	Huyền Thiết Kiếm-Việt Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
SpLine	Long Lân Đao-Chu Thiềm	14	0	Kim Qua Chùy-Thương Lang
EConSóngTN	Huyền Thiết Kiếm-Hoàng Quang	14	2	Phá Sơn Đao-Nghiệp Hỏa
DConSóngVĐ	Huyền Thiết Kiếm-Hoàng Quang	14	2	Thanh Sương Kiếm-Vân Phách
DConSóngVĐ	Quần Điểu Liên-Phục Thạch	12	3	Bắc Thần Liên-Quy Nguyên
SaoMai	Trầm Đàn Hương Nang-Chí mạng	12	1	Già Nam Hương Nang-Quy Nguyên
AConSóngMGC	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
AConSóngMGC	Thương Khung Giới-Diên Dương	12	1	Thương Khung Giới-Phục Thạch
AConSóngMGC	Bắc Thần Liên-Nghịch Thủy	12	2	Quần Điểu Liên-Thiên Sơn
XeSốMột	Nghiệt Long Chùy-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
SaoMai	Huyền Thiết Kiếm-Linh Vũ	14	2	Thanh Sương Kiếm-Triệt Cốt
XeSốHai	Bạch Hổ Triền Thủ-Phá Quân	14	0	Phá Sơn Đao-Nghiệp Hỏa
XeSốBa	Bạch Hổ Triền Thủ-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
XeSốBốn	Nghiệt Long Chùy-Phá Quân	14	0	Phá Sơn Đao-Nghiệp Hỏa
XeSốNăm	Nghiệt Long Chùy-Phi Yến	14	0	Phá Sơn Đao-Nghiệp Hỏa
XeSốSáu	Bạch Hổ Triền Thủ-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
KiếmVôCực	Nghiệt Long Chùy-Diên Dương	14	0	Thanh Sương Kiếm-Vân Phách
CáChàBặc	Huyền Thiết Kiếm-Triệt Cốt	13	0	Hàm Sa Xạ Ảnh-Ô Sương
KiếmVôTâm	Phá Thiên Kích-Linh Vũ	14	0	Thanh Sương Kiếm-Vân Phách
AnhBaBáo	Huyền Thiết Kiếm-Triệt Cốt	14	0	Phá Sơn Đao-Nghiệp Hỏa
KiếmVôTình	Nghiệt Long Chùy-Diên Dương	14	0	Thanh Sương Kiếm-Vân Phách
CôBéBánDâm	Huyền Thiết Kiếm-Triệt Cốt	14	0	Phá Sơn Đao-Lạc Lôi
KiếmVôDanh	Huyền Thiết Kiếm-Phá Quân	14	0	Thanh Sương Kiếm-Vân Phách
KiếmVôTận	Bạch Hổ Triền Thủ-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
NhiTinh	Thất Tinh Thấu Cốt-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
KiếmVôNgã	Giác Hải Bổng-Toái Trần	14	0	Thanh Sương Kiếm-Vân Phách
TuTinh	Thất Tinh Thấu Cốt-Tâm Nhãn	14	0	Thanh Sương Kiếm-Vân Phách
NguTinh	Thất Tinh Thấu Cốt-Ô Sương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
HắcHỏa	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
LãoTứ	Đông Hải Thúc Yêu-Nghịch Thủy	12	2	Long Bàn Thúc Yêu-Phục Thạch
HắcHổ	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ooOGameOVerOoo	Nghiệt Long Chùy-Thương Lang	14	0	Kim Qua Chùy-Thương Lang
TôVânSơn	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
LucTinh	Thất Tinh Thấu Cốt-Ô Sương	14	0	Thanh Sương Kiếm-Triệt Cốt
MaNhẫnI	Long Lân Đao-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
TàThầnMGll	Nghiệt Long Chùy-Linh Vũ	14	0	Thanh Sương Kiếm-Vân Phách
adumin	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ThiênTôn	Huyền Thiết Kiếm-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
TàThầnMNll	Kinh Lôi Thương-Phi Yến	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThiênLong	Long Lân Đao-Diên Dương	14	0	Kim Qua Chùy-Ô Sương
adumiin	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ThiênĐế	Kinh Lôi Thương-Đoạn Hải	14	0	Phá Sơn Đao-Nghiệp Hỏa
aduminn	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
TàThầnCLĐll	Bạch Hổ Triền Thủ-Toái Trần	14	0	Phá Sơn Đao-Thương Lang
adminnn	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
TàThầnTYkll	Tuyệt Ảnh Đao-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
TàThầnTVCll	Nghiệt Long Chùy-Phá Quân	14	0	Kim Qua Chùy-Thương Lang
NhịSưTỷ	Huyền Thiết Kiếm-Phá Quân	14	0	Thanh Sương Kiếm-Triệt Cốt
Gumayusii	Giác Hải Bổng-Việt Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
Rulerr	Huyền Thiết Kiếm-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThiênSứ	Tuyệt Ảnh Đao-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ThiênĐường	Long Lân Đao-Phá Quân	14	0	Thanh Sương Kiếm-Triệt Cốt
ThiênNhiên	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ĐạiSưHuynh	Huyền Thiết Kiếm-Hoàng Quang	14	2	Thanh Sương Kiếm-Triệt Cốt
EmChưaMười9	Kinh Lôi Thương-Phi Yến	14	0	Phá Sơn Đao-Nghiệp Hỏa
EmChưaMười8a	Kinh Lôi Thương-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
EmChưaMười8b	Kinh Lôi Thương-Toái Trần	14	0	Phá Sơn Đao-Nghiệp Hỏa
EmChưaMười8c	Kinh Lôi Thương-Phi Yến	14	0	Phá Sơn Đao-Nghiệp Hỏa
EmChưaMười8d	Kinh Lôi Thương-Phá Quân	14	0	Hàm Sa Xạ Ảnh-Ô Sương
AnhBaChàCú	Kim Qua Chùy-Ô Sương	14	1	Thanh Sương Kiếm-Thực Cốt
CáChàBu	Long Lân Đao-Tâm Nhãn	14	0	Kim Qua Chùy-Thương Lang
ddddddddddd	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
HoàngCave	Huyền Thiết Kiếm-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
ngốnèhai	Giác Hải Bổng-Toái Trần	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ThầyLangGià	Kinh Lôi Thương-Toái Trần	14	0	Phá Sơn Đao-Nghiệp Hỏa
MaNhẫnIII	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangGiàa	Giác Hải Bổng-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangGiàb	Giác Hải Bổng-Toái Trần	14	0	Phá Sơn Đao-Nghiệp Hỏa
MaNhẫnIV	Tuyệt Ảnh Đao-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangGiàc	Nghiệt Long Chùy-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangGiàd	Huyền Thiết Kiếm-Chu Tước	12	0	Hàm Sa Xạ Ảnh-Ô Sương
MaNhẫnII	Long Lân Đao-Thương Lang	14	0	Phá Sơn Đao-Nghiệp Hỏa
AnhNôngDân	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ChịNôngDân	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
MaNhẫnV	Long Lân Đao-Thương Lang	14	0	Thanh Sương Kiếm-Vân Phách
ChúNôngDân	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
CôNôngDân	Huyền Thiết Kiếm-Vân Phách	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangGiàdd	Bạch Hổ Triền Thủ-Tâm Nhãn	14	0	Hàm Sa Xạ Ảnh-Ô Sương
BácNôngDân	Huyền Thiết Kiếm-Vân Phách	14	0	Thanh Sương Kiếm-Vân Phách
ĐamMêCày	Kinh Lôi Thương-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
EmNôngDân	Long Lân Đao-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
ngốnèba	Huyền Thiết Kiếm-Việt Quang	14	0	Thanh Sương Kiếm-Vân Phách
ngốnèbốn	Nghiệt Long Chùy-Phá Quân	14	0	Thanh Sương Kiếm-Vân Phách
ngốnènăm	Bạch Hổ Triền Thủ-Linh Vũ	14	0	Phá Sơn Đao-Nghiệp Hỏa
ngốnèmột	Nghiệt Long Chùy-Phá Quân	14	0	Thanh Sương Kiếm-Triệt Cốt
EmChưaMười8e	Huyền Thiết Kiếm-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
HoàngCavee	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
HoàngCaveee	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
HoàngCaveeeee	Kinh Lôi Thương-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
HoàngCaveeeeee	Long Lân Đao-Tâm Nhãn	14	0	Kim Qua Chùy-Ô Sương
HoàngCaveeee	Long Lân Đao-Việt Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
