ROOM_RANK	TEMP_MAP_ID	ROOM_TYPE	NORMAL_NPC	NORMAL_NUM	NORMAL_LEVEL	JING_NPC	JING_NUM	JING_LEVEL	BOSS_NPC	BOSS_NUM	BOSS_LEVEL	STAR_NPC	STAR_NUM	STAR_FINISH_NUM	STAR_DAMAGE1	STAR_DAMAGE1_NUM	STAR_DAMAGE2	STAR_DAMAGE2_NUM	STAR_BUFF_NPC	STAR_BUFF_NPC_NUM	BOX_NPC	BOX_NPC_NUM	PICK_NPC	PICK_NPC_NUM	PICK_BOSS	PICK_BOSS_NUM	NPC_LEVEL
60	2334	1	11507	24	117	11511	3	120	11512	1	120																
61	2335	1	11513	12	121																						
62	2335	1	11514	12	122																						
63	2335	3										11282	12	36	11283	12	11284	5	11285	1							6
64	2335	1	11513	8	121	11515	4	124																			
65	2335	1	11514	8	122	11516	4	125	11517	1	125																
66	2335	1	11518	12	126																						
67	2335	1	11519	12	127																						
68	2335	4																			11595	5	11521	10	11520	5	121
69	2335	1	11518	8	126	11522	4	129																			
70	2335	1	11519	8	127	11523	4	130	11524	1	130																
71	2336	1	11525	12	131																						
72	2336	1	11526	12	132																						
73	2336	3										11282	12	36	11283	12	11284	5	11285	1							6
74	2336	1	11525	8	131	11527	4	134																			
75	2336	1	11526	8	132	11528	4	135	11529	1	135																
76	2336	1	11530	12	136																						
77	2336	1	11531	12	137																						
78	2336	4																			11596	5	11533	10	11532	5	131
79	2336	1	11530	8	136	11534	4	139																			
80	2336	1	11531	8	137	11535	4	140	11536	1	140																
81	2337	1	11537	15	141																						
82	2337	1	11538	15	142																						
83	2337	3										11282	12	45	11283	15	11284	6	11285	1							7
84	2337	1	11537	10	141	11539	5	144																			
85	2337	1	11538	10	142	11540	5	145	11541	1	145																
86	2337	1	11542	15	146																						
87	2337	1	11543	15	147																						
88	2337	4																			11597	6	11545	12	11544	6	141
89	2337	1	11542	10	146	11546	5	149																			
90	2337	1	11543	10	147	11547	5	150	11548	1	150																
91	2338	1	11549	18	141																						
92	2338	1	11550	18	142																						
93	2338	3										11282	12	54	11283	21	11284	8	11285	1							8
94	2338	1	11549	12	141	11551	6	144																			
95	2338	1	11550	12	142	11552	6	145	11553	1	145																
96	2338	1	11554	18	146																						
97	2338	1	11555	18	147																						
98	2338	4																			11598	6	11557	12	11556	6	141
99	2338	1	11554	12	146	11558	6	149																			
100	2338	1	11555	12	147	11559	6	150	11560	1	150																
101	2338	1	11549	18	141																						
102	2338	1	11550	18	142																						
103	2338	3										11282	12	54	11283	21	11284	8	11285	1							8
104	2338	1	11549	12	141	11551	6	144																			
105	2338	1	11550	12	142	11552	6	145	11553	1	145																
106	2338	1	11554	18	146																						
107	2338	1	11555	18	147																						
108	2338	4																			11598	6	11557	12	11556	6	141
109	2338	1	11554	12	146	11558	6	149																			
110	2338	1	11555	12	147	11559	6	150	11560	1	150																
111	2338	1	11549	18	141																						
112	2338	1	11550	18	142																						
113	2338	3										11282	12	54	11283	21	11284	8	11285	1							8
114	2338	1	11549	12	141	11551	6	144																			
115	2338	1	11550	12	142	11552	6	145	11553	1	145																
116	2338	1	11554	18	146																						
117	2338	1	11555	18	147																						
118	2338	4																			11598	6	11557	12	11556	6	141
119	2338	1	11554	12	146	11558	6	149																			
120	2338	1	11555	12	147	11559	6	150	11560	1	150																
121	2338	1	11549	18	141																						
122	2338	1	11550	18	142																						
123	2338	3										11282	12	54	11283	21	11284	8	11285	1							8
124	2338	1	11549	12	141	11551	6	144																			
125	2338	1	11550	12	142	11552	6	145	11553	1	145																
126	2338	1	11554	18	146																						
127	2338	1	11555	18	147																						
128	2338	4																			11598	6	11557	12	11556	6	141
129	2338	1	11554	12	146	11558	6	149																			
130	2338	1	11555	12	147	11559	6	150	11560	1	150																
131	2338	1	11549	18	141																						
132	2338	1	11550	18	142																						
133	2338	3										11282	12	54	11283	21	11284	8	11285	1							8
134	2338	1	11549	12	141	11551	6	144																			
135	2338	1	11550	12	142	11552	6	145	11553	1	145																
136	2338	1	11554	18	146																						
137	2338	1	11555	18	147																						
138	2338	4																			11598	6	11557	12	11556	6	141
139	2338	1	11554	12	146	11558	6	149																			
140	2338	1	11555	12	147	11559	6	150	11560	1	150																
141	2338	1	11549	18	141																						
142	2338	1	11550	18	142																						
143	2338	3										11282	12	54	11283	21	11284	8	11285	1							8
144	2338	1	11549	12	141	11551	6	144																			
145	2338	1	11550	12	142	11552	6	145	11553	1	145																
146	2338	1	11554	18	146																						
147	2338	1	11555	18	147																						
148	2338	4																			11598	6	11557	12	11556	6	141
149	2338	1	11554	12	146	11558	6	149																			
150	2338	1	11555	12	147	11559	6	150	11560	1	150																
151	2338	1	11549	18	141																						
152	2338	1	11550	18	142																						
153	2338	3										11282	12	54	11283	21	11284	8	11285	1							8
154	2338	1	11549	12	141	11551	6	144																			
155	2338	1	11550	12	142	11552	6	145	11553	1	145																
156	2338	1	11554	18	146																						
157	2338	1	11555	18	147																						
158	2338	4																			11598	6	11557	12	11556	6	141
159	2338	1	11554	12	146	11558	6	149																			
160	2338	1	11555	12	147	11559	6	150	11560	1	150																
